TEAM,Total,Passing,Rushing,Points,GP,YDS,YDS/G,PTS,PTS/G
Miami Dolphins,17,6822,401.3,4514,265.5,2308,135.8,496,29.2
San Francisco 49ers,17,6773,398.4,4384,257.9,2389,140.5,491,28.9
Detroit Lions,17,6712,394.8,4401,258.9,2311,135.9,461,27.1
Buffalo Bills,17,6366,374.5,4154,244.4,2212,130.1,451,26.5
Dallas Cowboys,17,6317,371.6,4397,258.6,1920,112.9,509,29.9
Baltimore Ravens,17,6296,370.4,3635,213.8,2661,156.5,483,28.4
Los Angeles Rams,17,6108,359.3,4063,239.0,2045,120.3,404,23.8
Philadelphia Eagles,17,6024,354.4,3834,225.5,2190,128.8,433,25.5
Kansas City Chiefs,17,5972,351.3,4188,246.4,1784,104.9,371,21.8
Minnesota Vikings,17,5912,347.8,4359,256.4,1553,91.4,344,20.2
Green Bay Packers,17,5873,345.5,3968,233.4,1905,112.1,383,22.5
Houston Texans,17,5820,342.4,4173,245.5,1647,96.9,377,22.2
Jacksonville Jaguars,17,5772,339.5,4126,242.7,1646,96.8,377,22.2
New Orleans Saints,17,5732,337.2,3990,234.7,1742,102.5,402,23.6
Indianapolis Colts,17,5725,336.8,3666,215.6,2059,121.1,396,23.3
Cleveland Browns,17,5710,335.9,3693,217.2,2017,118.6,396,23.3
Atlanta Falcons,17,5683,334.3,3524,207.3,2159,127.0,321,18.9
Los Angeles Chargers,17,5599,329.4,3957,232.8,1642,96.6,346,20.4
Arizona Cardinals,17,5509,324.1,3144,184.9,2365,139.1,330,19.4
Chicago Bears,17,5495,323.2,3096,182.1,2399,141.1,360,21.2
Seattle Seahawks,17,5490,322.9,3910,230.0,1580,92.9,364,21.4
Cincinnati Bengals,17,5422,318.9,3895,229.1,1527,89.8,366,21.5
Tampa Bay Buccaneers,17,5321,313.0,3812,224.2,1509,88.8,348,20.5
Washington Commanders,17,5317,312.8,3725,219.1,1592,93.6,329,19.4
Pittsburgh Steelers,17,5173,304.3,3163,186.1,2010,118.2,304,17.9
Denver Broncos,17,5072,298.4,3262,191.9,1810,106.5,357,21.0
Las Vegas Raiders,17,4922,289.5,3380,198.8,1542,90.7,332,19.5
Tennessee Titans,17,4913,289.0,3067,180.4,1846,108.6,305,17.9
New York Giants,17,4760,280.0,2886,169.8,1874,110.2,266,15.6
New England Patriots,17,4696,276.2,3069,180.5,1627,95.7,236,13.9
New York Jets,17,4566,268.6,2919,171.7,1647,96.9,268,15.8
Carolina Panthers,17,4510,265.3,2741,161.2,1769,104.1,236,13.9
