TEAM,Total,Passing,Rushing,Points,GP,YDS,YDS/G,PTS,PTS/G
Dallas Cowboys,17,6919,407.0,4800,282.4,2119,124.6,530,31.2
Tampa Bay Buccaneers,17,6901,405.9,5229,307.6,1672,98.4,511,30.1
Kansas City Chiefs,17,6746,396.8,4791,281.8,1955,115.0,480,28.2
Los Angeles Chargers,17,6634,390.2,4800,282.4,1834,107.9,474,27.9
Buffalo Bills,17,6493,381.9,4284,252.0,2209,129.9,483,28.4
Baltimore Ravens,17,6440,378.8,3961,233.0,2479,145.8,387,22.8
San Francisco 49ers,17,6387,375.7,4221,248.3,2166,127.4,427,25.1
Arizona Cardinals,17,6352,373.6,4276,251.5,2076,122.1,449,26.4
Los Angeles Rams,17,6325,372.1,4642,273.1,1683,99.0,460,27.1
Green Bay Packers,17,6215,365.6,4315,253.8,1900,111.8,450,26.5
Las Vegas Raiders,17,6184,363.8,4567,268.6,1617,95.1,374,22.0
Minnesota Vikings,17,6168,362.8,4238,249.3,1930,113.5,425,25.0
Cincinnati Bengals,17,6145,361.5,4403,259.0,1742,102.5,460,27.1
Philadelphia Eagles,17,6119,359.9,3404,200.2,2715,159.7,444,26.1
New England Patriots,17,6008,353.4,3857,226.9,2151,126.5,462,27.2
Indianapolis Colts,17,5901,347.1,3361,197.7,2540,149.4,451,26.5
Tennessee Titans,17,5822,342.5,3418,201.1,2404,141.4,419,24.6
Cleveland Browns,17,5791,340.6,3320,195.3,2471,145.4,349,20.5
Denver Broncos,17,5618,330.5,3593,211.4,2025,119.1,335,19.7
Seattle Seahawks,17,5506,323.9,3432,201.9,2074,122.0,395,23.2
Washington,17,5502,323.6,3441,202.4,2061,121.2,335,19.7
Detroit Lions,17,5484,322.6,3598,211.6,1886,110.9,325,19.1
Pittsburgh Steelers,17,5361,315.4,3778,222.2,1583,93.1,343,20.2
Chicago Bears,17,5225,307.4,3207,188.6,2018,118.7,311,18.3
Miami Dolphins,17,5219,307.0,3651,214.8,1568,92.2,341,20.1
New York Jets,17,5208,306.4,3541,208.3,1667,98.1,310,18.2
Jacksonville Jaguars,17,5191,305.4,3436,202.1,1755,103.2,253,14.9
New Orleans Saints,17,5177,304.5,3186,187.4,1991,117.1,364,21.4
Atlanta Falcons,17,5164,303.8,3713,218.4,1451,85.4,313,18.4
Carolina Panthers,17,5081,298.9,3239,190.5,1842,108.4,304,17.9
New York Giants,17,4884,287.3,3196,188.0,1688,99.3,258,15.2
Houston Texans,17,4727,278.1,3305,194.4,1422,83.6,280,16.5
