TEAM,Total,Passing,Rushing,Points,GP,YDS,YDS/G,PTS,PTS/G
Dallas Cowboys,16,6904,431.5,4751,296.9,2153,134.6,434,27.1
Baltimore Ravens,16,6521,407.6,3225,201.6,3296,206.0,531,33.2
Tampa Bay Buccaneers,16,6366,397.9,4845,302.8,1521,95.1,458,28.6
San Francisco 49ers,16,6097,381.1,3792,237.0,2305,144.1,479,29.9
Atlanta Falcons,16,6075,379.7,4714,294.6,1361,85.1,381,23.8
Kansas City Chiefs,16,6067,379.2,4498,281.1,1569,98.1,451,28.2
Los Angeles Rams,16,5998,374.9,4499,281.2,1499,93.7,394,24.6
Seattle Seahawks,16,5991,374.4,3791,236.9,2200,137.5,405,25.3
New Orleans Saints,16,5982,373.9,4244,265.3,1738,108.6,458,28.6
Los Angeles Chargers,16,5879,367.4,4426,276.6,1453,90.8,337,21.1
Oakland Raiders,16,5819,363.7,3926,245.4,1893,118.3,313,19.6
Tennessee Titans,16,5805,362.8,3582,223.9,2223,138.9,402,25.1
Houston Texans,16,5792,362.0,3783,236.4,2009,125.6,378,23.6
Philadelphia Eagles,16,5772,360.8,3833,239.6,1939,121.2,385,24.1
New England Patriots,16,5664,354.0,3961,247.6,1703,106.4,420,26.3
Minnesota Vikings,16,5656,353.5,3523,220.2,2133,133.3,407,25.4
Detroit Lions,16,5549,346.8,3900,243.8,1649,103.1,341,21.3
Green Bay Packers,16,5528,345.5,3733,233.3,1795,112.2,376,23.5
Carolina Panthers,16,5469,341.8,3650,228.1,1819,113.7,340,21.3
Jacksonville Jaguars,16,5468,341.8,3760,235.0,1708,106.8,300,18.8
Arizona Cardinals,16,5467,341.7,3477,217.3,1990,124.4,361,22.6
Cleveland Browns,16,5455,340.9,3554,222.1,1901,118.8,335,20.9
New York Giants,16,5416,338.5,3731,233.2,1685,105.3,341,21.3
Buffalo Bills,16,5283,330.2,3229,201.8,2054,128.4,314,19.6
Indianapolis Colts,16,5238,327.4,3108,194.3,2130,133.1,361,22.6
Cincinnati Bengals,16,5169,323.1,3652,228.3,1517,94.8,279,17.4
Miami Dolphins,16,4960,310.0,3804,237.8,1156,72.3,306,19.1
Denver Broncos,16,4777,298.6,3115,194.7,1662,103.9,282,17.6
Chicago Bears,16,4749,296.8,3291,205.7,1458,91.1,280,17.5
Pittsburgh Steelers,16,4428,276.8,2981,186.3,1447,90.4,289,18.1
Washington,16,4395,274.7,2812,175.8,1583,98.9,266,16.6
New York Jets,16,4368,273.0,3111,194.4,1257,78.6,276,17.3
