Rank,Team,Points
1,Auto Team 3,1677.2
2,Auto Team 4,1638.2
3,Auto Team 5,1595.6
4,Auto Team 7,1577.6
5,AI_General_Manager,1550.3
6,Auto Team 2,1542.5
7,Auto Team 9,1523.1
8,Auto Team 8,1479.6
9,Auto Team 6,1433.3
10,Auto Team 1,1387.1
11,Auto Team 11,1364.4
12,Auto Team 10,1202.3
