Rank,Team,Points
1,Auto Team 11,1748.5
2,AI_General_Manager,1710.0
3,Auto Team 2,1700.9
4,Auto Team 6,1587.2
5,Auto Team 7,1575.4
6,Auto Team 4,1570.0
7,Auto Team 1,1472.1
8,Auto Team 5,1388.5
9,Auto Team 3,1377.6
10,Auto Team 9,1357.3
11,Auto Team 10,1245.2
12,Auto Team 8,1245.0
