Rank,Team,Points
1,Auto Team 8,1759.3
2,AI_General_Manager,1730.3
3,Auto Team 11,1617.4
4,Auto Team 3,1554.8
5,Auto Team 9,1554.0
6,Auto Team 6,1538.6
7,Auto Team 4,1487.4
8,Auto Team 2,1486.0
9,Auto Team 7,1477.2
10,Auto Team 1,1412.7
11,Auto Team 10,1403.3
12,Auto Team 5,1064.7
