Rank,Team,Points
1,Auto Team 8,1788.2
2,Auto Team 10,1696.4
3,Auto Team 11,1692.5
4,Auto Team 9,1633.7
5,AI_General_Manager,1632.3
6,Auto Team 1,1559.9
7,Auto Team 4,1554.3
8,Auto Team 7,1467.6
9,Auto Team 6,1352.8
10,Auto Team 2,1294.6
11,Auto Team 5,1291.0
12,Auto Team 3,1022.5
