Rank,Team,Points
1,Auto Team 3,1842.7
2,Auto Team 11,1724.3
3,AI_General_Manager,1637.8
4,Auto Team 8,1568.4
5,Auto Team 7,1533.7
6,Auto Team 6,1478.9
7,Auto Team 9,1477.3
8,Auto Team 5,1443.6
9,Auto Team 10,1434.3
10,Auto Team 2,1352.0
11,Auto Team 4,1316.2
12,Auto Team 1,1276.5
