Rank,Team,Points
1,Auto Team 2,1703.1
2,Auto Team 5,1645.7
3,Auto Team 9,1612.5
4,Auto Team 3,1587.6
5,AI_General_Manager,1552.6
6,Auto Team 4,1501.9
7,Auto Team 11,1494.5
8,Auto Team 7,1485.0
9,Auto Team 8,1457.3
10,Auto Team 6,1387.1
11,Auto Team 1,1295.0
12,Auto Team 10,1145.3
