Rank,Team,Points
1,AI_General_Manager,1897.6
2,Auto Team 11,1724.3
3,Auto Team 7,1585.1
4,Auto Team 2,1578.9
5,Auto Team 10,1533.7
6,Auto Team 3,1486.9
7,Auto Team 5,1439.6
8,Auto Team 9,1434.3
9,Auto Team 8,1428.5
10,Auto Team 4,1374.9
11,Auto Team 1,1258.0
12,Auto Team 6,1229.4
