Rank,Team,Points
1,Auto Team 4,1776.0
2,Auto Team 7,1750.3
3,Auto Team 3,1722.3
4,Auto Team 8,1610.5
5,Auto Team 1,1586.0
6,Auto Team 11,1486.6
7,Auto Team 9,1437.6
8,AI_General_Manager,1409.4
9,Auto Team 2,1377.5
10,Auto Team 10,1364.4
11,Auto Team 5,1305.3
12,Auto Team 6,1145.3
