Rank,Player,Team,Position,Pass_Yds,Pass_TD,Pass_Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Ret_TD,Fum_TD,2PT,Lost,Fantasy_Points,Games_Played,Avg_Points,TGP,TAVG
64,Demario Douglas,WR,NE,-,-,-,41,-,49,561,-,-,-,-,1,107.20,14,7.66,17,6.31
65,Josh Palmer,WR,LAC,-,-,-,6,-,38,581,2,-,-,-,1,106.70,10,10.67,17,6.28
66,Rondale Moore,WR,ATL,-,-,-,178,1,40,352,1,-,-,-,-,105.00,17,6.18,17,6.18
67,Noah Brown,WR,WAS,-,-,-,-1,-,33,567,2,-,-,-,-,101.60,10,10.16,17,5.98
68,Christian Watson,WR,GB,-,-,-,11,-,28,422,5,-,-,-,-,101.30,10,10.13,17,5.96
69,Kendrick Bourne,WR,NE,-,-,-,4,-,37,406,4,-,-,-,1,100.00,8,12.50,17,5.88
70,Kalif Raymond,WR,DET,-,-,-,75,-,35,489,1,-,-,-,-,97.40,17,5.73,17,5.73
71,Nelson Agholor,WR,BAL,-,-,-,-,-,35,381,4,-,-,-,-,97.10,16,6.07,17,5.71
72,Trey Palmer,WR,TB,-,-,-,22,-,39,385,3,-,-,-,1,95.70,17,5.63,17,5.63
73,Alec Pierce,WR,IND,-,-,-,-,-,32,514,2,-,-,-,-,95.40,17,5.61,17,5.61
74,Quentin Johnston,WR,LAC,-,-,-,9,-,38,431,2,-,-,-,-,94.00,17,5.53,17,5.53
75,Michael Thomas,,,-,-,-,-,-,39,448,1,-,-,-,-,89.80,10,8.98,0,0
