Team,Avg,Rank,Att,Yds,TD,Rec,Rec_Yds,Rec_TD,RZ_Touch,RZ_G2G,Year
Houston Texans,26.24,32,383,2034,17,70,90,527,2,60,2022
Chicago Bears,24.78,31,371,1901,19,63,82,507,3,72,2022
Cleveland Browns,22.49,30,260,1197,9,57,71,336,1,58,2022
Arizona Cardinals,22.05,29,290,1340,13,76,90,608,6,54,2022
Seattle Seahawks,20.98,28,368,1741,11,71,90,579,3,46,2022
Green Bay Packers,20.69,27,290,1518,12,53,70,418,-,46,2022
Las Vegas Raiders,20.45,26,292,1366,12,71,94,629,5,30,2022
Miami Dolphins,20.34,25,276,1014,10,77,100,581,6,53,2022
Los Angeles Chargers,19.42,24,262,1423,8,54,64,404,5,47,2022
Indianapolis Colts,19.38,23,362,1481,14,86,105,625,3,69,2022
Los Angeles Rams,17.95,22,327,1415,10,60,82,464,2,60,2022
Kansas City Chiefs,17.81,21,266,1137,5,91,108,604,3,37,2022
Atlanta Falcons,17.70,20,349,1626,7,56,69,372,2,54,2022
Minnesota Vikings,17.53,19,306,1245,8,76,98,493,1,49,2022
Philadelphia Eagles,17.03,18,302,1345,11,73,94,482,3,54,2022
Baltimore Ravens,16.94,17,285,1164,5,82,98,637,2,44,2022
Jacksonville Jaguars,16.90,16,301,1093,11,88,115,650,-,48,2022
New England Patriots,16.46,15,261,990,-,68,94,520,1,26,2022
New York Giants,16.19,14,316,1572,5,38,54,339,2,41,2022
Tampa Bay Buccaneers,16.12,13,297,1220,5,56,68,310,2,48,2022
Pittsburgh Steelers,15.80,12,287,1194,6,51,69,398,2,45,2022
New York Jets,15.78,11,286,1272,4,58,83,473,1,44,2022
Denver Broncos,15.59,10,286,1264,9,67,88,427,2,52,2022
New Orleans Saints,15.54,9,336,1414,5,61,85,361,3,46,2022
Washington Commanders,15.44,8,277,1156,5,35,57,261,4,41,2022
Buffalo Bills,15.41,7,282,1282,9,66,89,390,2,44,2022
Detroit Lions,15.00,6,293,1486,11,43,58,295,-,45,2022
Dallas Cowboys,14.14,5,344,1482,5,52,63,390,-,51,2022
Carolina Panthers,13.83,4,333,1495,11,55,74,403,4,57,2022
Cincinnati Bengals,13.60,3,274,1105,6,60,86,432,3,48,2022
Tennessee Titans,13.58,2,261,907,6,69,93,483,1,51,2022
San Francisco 49ers,11.46,1,248,774,4,72,101,419,-,35,2022
