Team,Avg,Rank,Att,Yds,TD,Rec,Rec_Yds,Rec_TD,RZ_Touch,RZ_G2G,Year
Jacksonville Jaguars,22.23,32,323,1550,12,72,86,562,1,71,2020
Houston Texans,20.49,31,311,1749,14,62,76,529,2,64,2020
Detroit Lions,20.19,30,338,1603,14,63,86,634,9,79,2020
Green Bay Packers,17.79,29,218,1030,9,57,74,518,4,44,2020
Tennessee Titans,15.62,28,325,1526,14,75,98,596,5,77,2020
Minnesota Vikings,14.42,27,298,1460,17,51,69,290,1,73,2020
New England Patriots,14.10,26,332,1572,12,72,94,483,1,69,2020
Cincinnati Bengals,13.99,25,346,1879,11,48,69,343,4,78,2020
Las Vegas Raiders,13.58,24,340,1655,17,84,116,658,4,84,2020
Buffalo Bills,12.53,23,269,1173,12,71,94,534,1,62,2020
San Francisco 49ers,12.15,22,244,889,10,58,73,482,3,56,2020
Los Angeles Chargers,11.98,21,283,1306,8,80,100,523,3,60,2020
Dallas Cowboys,11.84,20,335,1421,10,53,73,339,-,61,2020
Carolina Panthers,11.66,19,303,1556,11,85,106,568,2,63,2020
Indianapolis Colts,11.54,18,246,966,8,75,90,513,3,49,2020
Denver Broncos,11.15,17,321,1529,14,64,87,415,2,75,2020
New York Giants,11.03,16,242,991,8,67,93,592,4,48,2020
Pittsburgh Steelers,10.98,15,299,1218,10,47,66,328,2,56,2020
Cleveland Browns,10.95,14,265,1088,9,49,65,352,-,45,2020
Seattle Seahawks,10.72,13,234,838,9,79,105,556,3,57,2020
Kansas City Chiefs,10.38,12,313,1410,7,84,110,790,5,51,2020
Tampa Bay Buccaneers,10.09,11,241,820,7,91,112,600,3,51,2020
Baltimore Ravens,10.01,10,288,1242,6,65,86,469,5,36,2020
Chicago Bears,9.67,9,298,1268,10,54,74,417,-,54,2020
New Orleans Saints,9.54,8,251,992,8,43,58,260,1,49,2020
New York Jets,8.76,7,281,1162,9,81,108,594,3,75,2020
Atlanta Falcons,8.47,6,216,879,7,69,89,413,3,50,2020
Washington Commanders,8.25,5,280,1125,7,55,78,357,4,58,2020
Los Angeles Rams,7.89,4,272,1010,8,70,97,513,3,49,2020
Arizona Cardinals,7.49,3,295,1293,9,49,69,520,5,58,2020
Miami Dolphins,7.23,2,290,1262,8,60,74,517,-,52,2020
Philadelphia Eagles,6.98,1,331,1259,11,58,77,429,1,70,2020
