Team,Avg,Rank,Rush_Att,Rush_Yds,Rush_TD,Rec,Target,Rec_Yds,Rec_TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Minnesota Vikings,40.17,32,15,79,-,255,402,3115,18,4,26,9,2024
Atlanta Falcons,37.19,31,17,73,-,230,329,2588,22,11,30,11,2024
Detroit Lions,37.18,30,15,53,-,244,405,3147,13,5,19,15,2024
Jacksonville Jaguars,36.53,29,14,18,1,213,327,2972,17,5,16,7,2024
Baltimore Ravens,36.41,28,6,42,1,220,355,2827,17,2,13,7,2024
Tampa Bay Buccaneers,36.10,27,14,68,-,231,351,2659,18,1,15,5,2024
New Orleans Saints,35.97,26,20,99,1,217,362,2826,16,10,25,14,2024
Dallas Cowboys,35.94,25,20,151,-,215,322,2688,19,7,16,10,2024
Cleveland Browns,35.41,24,20,126,3,179,289,2623,20,3,13,5,2024
Carolina Panthers,34.33,23,12,78,-,203,309,2517,21,11,31,15,2024
Houston Texans,33.89,22,14,72,-,188,334,2569,21,4,13,7,2024
Seattle Seahawks,33.86,21,18,81,-,207,327,2423,19,7,22,11,2024
Indianapolis Colts,33.55,20,17,98,-,197,294,2567,17,7,19,12,2024
New York Giants,33.35,19,6,22,-,202,301,2547,17,-,14,7,2024
Kansas City Chiefs,33.22,18,13,98,-,207,319,2359,19,6,24,10,2024
Buffalo Bills,33.11,17,14,69,1,210,299,2519,16,10,27,13,2024
New England Patriots,32.85,16,11,31,-,204,320,2494,16,5,24,14,2024
Los Angeles Chargers,32.75,15,6,11,-,191,298,2506,19,5,20,10,2024
Los Angeles Rams,32.68,14,16,111,1,177,295,2415,20,2,22,11,2024
Pittsburgh Steelers,32.66,13,8,28,-,203,323,2635,15,6,32,11,2024
Arizona Cardinals,32.44,12,12,48,-,210,307,2547,14,3,19,11,2024
Washington Commanders,31.87,11,14,62,-,190,318,2427,16,5,19,9,2024
Las Vegas Raiders,31.86,10,10,62,-,196,308,2414,16,1,19,13,2024
Denver Broncos,31.52,9,12,19,-,211,338,2629,11,3,15,7,2024
Cincinnati Bengals,31.14,8,10,64,-,184,312,2370,17,3,16,7,2024
Philadelphia Eagles,31.01,7,7,49,1,196,329,2202,17,7,23,13,2024
San Francisco 49ers,30.96,6,14,97,2,181,296,2157,17,4,23,15,2024
Miami Dolphins,30.60,5,16,123,-,197,297,2309,13,3,17,9,2024
Green Bay Packers,30.44,4,7,22,1,197,297,2303,15,4,14,8,2024
New York Jets,30.26,3,14,61,2,183,299,2373,13,2,20,13,2024
Tennessee Titans,29.72,2,16,86,-,187,289,2177,15,1,13,5,2024
Chicago Bears,28.95,1,20,60,-,172,269,2401,13,4,21,12,2024
