Team,Avg,Rank,Comp,Att,Yds,Int,TD,Rush_Att,Rush_Yds,Rush_TD,RZ_Touch,RZ_G2G,Year
Washington Commanders,20.11,32,347,525,4012,8,34,60,272,1,7,3,2023
Detroit Lions,19.64,31,387,612,4751,16,29,86,379,5,18,7,2023
Philadelphia Eagles,19.54,30,373,569,3915,7,32,44,199,-,8,3,2023
Los Angeles Chargers,19.48,29,383,587,4507,9,25,81,281,7,15,7,2023
Arizona Cardinals,19.29,28,350,508,3756,13,32,76,350,5,19,9,2023
Jacksonville Jaguars,18.30,27,421,634,4514,15,28,77,322,4,19,9,2023
Los Angeles Rams,17.84,26,302,497,3387,8,19,58,209,4,9,5,2023
Seattle Seahawks,17.60,25,411,613,4538,12,22,89,437,3,18,12,2023
Denver Broncos,17.56,24,364,552,4123,10,28,60,223,2,10,3,2023
Miami Dolphins,17.35,23,352,529,3946,13,26,78,302,5,16,9,2023
Tampa Bay Buccaneers,17.30,22,402,608,4544,13,23,57,223,6,14,8,2023
Atlanta Falcons,17.22,21,316,511,3403,7,24,76,352,6,23,12,2023
Cincinnati Bengals,17.09,20,339,516,4218,14,20,87,377,4,18,3,2023
Houston Texans,16.35,19,324,471,3589,12,15,54,221,5,14,6,2023
Minnesota Vikings,16.34,18,425,605,4239,11,22,73,262,4,11,6,2023
Chicago Bears,15.93,17,388,585,4061,22,29,48,200,1,7,2,2023
Green Bay Packers,15.65,16,343,516,3733,8,23,74,387,2,10,2,2023
Indianapolis Colts,15.39,15,346,531,3849,14,21,61,278,4,9,5,2023
Tennessee Titans,15.33,14,368,540,4021,6,19,58,214,2,22,12,2023
Dallas Cowboys,15.23,13,296,496,3456,17,22,86,394,4,16,9,2023
New England Patriots,15.08,12,392,605,4084,11,19,95,217,4,24,15,2023
Las Vegas Raiders,14.58,11,375,562,3889,13,21,70,283,2,10,5,2023
New York Giants,14.57,10,358,561,4009,17,20,43,205,4,7,4,2023
Kansas City Chiefs,14.49,9,339,554,3353,8,19,91,342,4,26,9,2023
Buffalo Bills,13.88,8,362,551,3658,18,18,77,336,4,13,5,2023
Pittsburgh Steelers,13.76,7,273,450,3256,12,15,44,201,-,2,1,2023
New Orleans Saints,13.65,6,294,501,3269,14,19,62,356,2,3,1,2023
Cleveland Browns,12.48,5,310,539,3176,19,23,73,257,5,14,11,2023
San Francisco 49ers,12.41,4,364,552,3540,20,17,66,271,1,12,6,2023
Carolina Panthers,12.34,3,267,420,2603,7,13,52,55,2,10,3,2023
New York Jets,12.14,2,286,467,2934,16,18,71,308,2,12,7,2023
Baltimore Ravens,11.24,1,345,586,3422,16,14,50,269,-,4,-,2023
