Team,Avg,Rank,Rush_Att,Rush_Yds,Rush_TD,Rec,Target,Rec_Yds,Rec_TD,RZ_Touch,RZ_Target,RZ_G2G,Year
Detroit Lions,35.51,32,18,103,-,172,278,2480,12,3,32,13,2022
Minnesota Vikings,34.03,31,12,144,1,219,339,2857,10,2,38,12,2022
Tennessee Titans,31.32,30,5,11,-,196,302,2676,16,3,31,9,2022
New England Patriots,30.19,29,11,63,2,160,259,2134,12,4,26,9,2022
Buffalo Bills,29.91,28,6,27,-,168,276,2164,15,2,31,18,2022
Miami Dolphins,29.62,27,14,38,1,184,306,2214,9,3,31,15,2022
Chicago Bears,29.45,26,26,197,2,173,258,2484,11,6,32,11,2022
Los Angeles Rams,29.25,25,4,11,-,215,306,2476,11,1,39,15,2022
New York Giants,29.02,24,14,53,-,173,294,2095,11,1,43,13,2022
Kansas City Chiefs,28.73,23,2,-3,-,173,271,1961,14,3,29,11,2022
Green Bay Packers,28.08,22,7,36,2,142,218,1874,12,4,29,13,2022
Washington Commanders,27.99,21,9,192,1,137,230,1988,13,3,32,14,2022
Dallas Cowboys,27.65,20,17,125,-,175,286,2324,21,2,38,10,2022
Jacksonville Jaguars,27.60,19,15,35,-,166,271,1981,14,4,33,12,2022
Pittsburgh Steelers,27.57,18,2,3,-,146,258,2121,16,4,34,15,2022
Baltimore Ravens,27.03,17,6,-5,-,189,304,2368,12,2,53,22,2022
Indianapolis Colts,26.92,16,19,87,-,178,272,2099,14,2,33,14,2022
San Francisco 49ers,26.84,15,8,52,-,165,254,2178,12,2,24,11,2022
Carolina Panthers,26.83,14,26,170,1,194,285,2405,11,11,31,15,2022
Tampa Bay Buccaneers,26.69,13,12,98,2,180,296,2148,13,3,36,11,2022
Las Vegas Raiders,25.58,12,9,57,1,155,242,2025,9,2,31,8,2022
New Orleans Saints,25.22,11,13,48,2,161,258,1969,6,3,25,12,2022
Cincinnati Bengals,25.21,10,18,157,1,139,240,1926,9,5,24,12,2022
Cleveland Browns,24.51,9,14,95,1,112,201,1500,10,2,20,11,2022
Arizona Cardinals,24.26,8,5,32,1,155,235,1651,7,2,33,14,2022
Atlanta Falcons,24.06,7,16,69,1,163,255,1967,12,3,31,13,2022
Denver Broncos,23.98,6,10,22,-,149,247,1620,6,3,38,15,2022
Seattle Seahawks,23.54,5,15,153,1,149,253,1792,9,4,21,9,2022
Houston Texans,22.87,4,16,124,-,146,228,1893,6,2,31,15,2022
Los Angeles Chargers,22.44,3,10,68,-,127,203,1617,8,6,27,15,2022
Philadelphia Eagles,21.82,2,17,70,-,160,271,1918,14,3,37,17,2022
New York Jets,21.02,1,14,53,-,115,185,1283,8,4,23,8,2022
