Team,Avg,Rank,PAT_Made,FG_0_19,FG_20_29,FG_30_39,FG_40_49,FG_50plus,Year
Carolina Panthers,10.35,32,54,-,8,11,10,7,2024
Las Vegas Raiders,9.76,31,40,-,7,12,13,6,2024
New York Jets,9.65,30,32,-,11,5,13,9,2024
Chicago Bears,9.53,29,32,-,10,13,7,8,2024
Miami Dolphins,9.29,28,30,-,11,7,8,10,2024
Atlanta Falcons,9.12,27,40,-,6,7,7,11,2024
Arizona Cardinals,9.06,26,35,-,10,7,6,10,2024
Indianapolis Colts,9.00,25,43,-,4,10,6,10,2024
Jacksonville Jaguars,8.88,24,41,-,5,15,10,4,2024
Tampa Bay Buccaneers,8.76,23,38,-,8,9,10,6,2024
San Francisco 49ers,8.71,21,42,-,8,8,6,8,2024
New Orleans Saints,8.71,21,35,-,8,7,11,7,2024
Dallas Cowboys,8.47,20,49,-,5,8,12,4,2024
Baltimore Ravens,8.41,19,32,-,5,8,4,12,2024
Los Angeles Rams,8.24,18,36,-,10,7,6,7,2024
New England Patriots,8.18,17,41,-,10,8,8,4,2024
Houston Texans,8.12,15,36,-,1,9,4,12,2024
Tennessee Titans,8.12,15,50,-,11,4,6,5,2024
New York Giants,8.06,14,44,-,12,10,4,3,2024
Detroit Lions,7.65,13,32,-,5,9,7,7,2024
Cleveland Browns,7.59,12,51,-,5,5,6,6,2024
Washington Commanders,7.47,11,35,-,5,10,9,4,2024
Seattle Seahawks,7.41,10,33,-,11,11,4,3,2024
Denver Broncos,7.24,9,26,-,8,10,6,5,2024
Cincinnati Bengals,7.18,8,46,2,1,8,6,5,2024
Los Angeles Chargers,6.88,7,29,-,5,10,11,2,2024
Pittsburgh Steelers,6.76,6,31,-,7,10,6,3,2024
Kansas City Chiefs,6.59,5,30,-,5,12,2,5,2024
Green Bay Packers,6.47,4,33,-,5,8,6,4,2024
Buffalo Bills,6.24,3,40,-,7,6,4,3,2024
Minnesota Vikings,6.12,2,31,-,7,6,8,2,2024
Philadelphia Eagles,6.06,1,22,-,7,10,5,3,2024
